Frame,Estado
0,Encendida
1,Encendida
2,Encendida
3,Encendida
4,Encendida
5,Encendida
6,Encendida
7,Encendida
8,Encendida
9,Encendida
10,Encendida
11,Encendida
12,Apagada
13,Apagada
14,Apagada
15,Apagada
16,Encendida
17,Encendida
18,Encendida
19,Encendida
20,Encendida
21,Encendida
22,Encendida
23,Encendida
24,Apagada
25,Apagada
26,Apagada
27,Apagada
28,Apagada
29,Apagada
30,Apagada
31,Apagada
32,Encendida
33,Encendida
34,Encendida
35,Encendida
36,Encendida
37,Encendida
38,Encendida
39,Encendida
40,Encendida
41,Encendida
42,Encendida
43,Encendida
44,Encendida
45,Encendida
46,Encendida
47,Encendida
48,Encendida
49,Encendida
50,Apagada
51,Apagada
52,Apagada
53,Apagada
54,Apagada
55,Apagada
56,Apagada
57,Apagada
58,Apagada
59,Apagada
60,Encendida
61,Encendida
62,Encendida
63,Encendida
64,Encendida
65,Encendida
66,Encendida
67,Encendida
68,Encendida
69,Encendida
70,Encendida
71,Encendida
72,Encendida
73,Encendida
74,Encendida
75,Encendida
76,Encendida
77,Encendida
78,Encendida
79,Apagada
80,Apagada
81,Apagada
82,Apagada
83,Apagada
84,Apagada
85,Apagada
86,Encendida
87,Encendida
88,Encendida
89,Encendida
90,Encendida
91,Encendida
92,Encendida
93,Encendida
94,Encendida
95,Encendida
96,Encendida
97,Apagada
98,Apagada
99,Apagada
100,Apagada
101,Apagada
102,Apagada
103,Apagada
104,Apagada
105,Apagada
106,Apagada
107,Apagada
108,Apagada
109,Apagada
110,Encendida
111,Encendida
112,Encendida
113,Encendida
114,Encendida
115,Encendida
116,Encendida
117,Encendida
118,Encendida
119,Encendida
120,Encendida
121,Encendida
122,Encendida
123,Encendida
124,Encendida
125,Encendida
126,Encendida
127,Encendida
128,Encendida
129,Encendida
130,Encendida
131,Encendida
132,Apagada
133,Apagada
134,Apagada
135,Apagada
136,Apagada
137,Encendida
138,Encendida
139,Encendida
140,Encendida
141,Encendida
142,Encendida
143,Encendida
144,Encendida
145,Encendida
146,Encendida
147,Encendida
148,Encendida
149,Encendida
150,Encendida
151,Encendida
152,Encendida
153,Encendida
154,Encendida
155,Encendida
156,Encendida
157,Encendida
158,Apagada
159,Apagada
160,Apagada
161,Apagada
162,Apagada
163,Apagada
164,Apagada
165,Apagada
166,Apagada
167,Desconocida
168,Encendida
169,Encendida
170,Apagada
171,Apagada
172,Apagada
173,Apagada
174,Apagada
175,Apagada
176,Apagada
177,Apagada
178,Encendida
179,Encendida
180,Encendida
181,Encendida
182,Encendida
183,Encendida
184,Encendida
185,Encendida
186,Encendida
187,Apagada
188,Apagada
189,Desconocida
190,Desconocida
191,Desconocida
192,Desconocida
193,Desconocida
194,Desconocida
195,Encendida
196,Encendida
197,Encendida
198,Desconocida
199,Desconocida
200,Desconocida
201,Encendida
202,Encendida
203,Encendida
204,Encendida
205,Encendida
206,Encendida
207,Desconocida
208,Desconocida
209,Encendida
210,Encendida
211,Encendida
212,Encendida
213,Encendida
214,Encendida
215,Encendida
216,Encendida
217,Desconocida
218,Desconocida
219,Desconocida
220,Desconocida
221,Desconocida
222,Desconocida
223,Desconocida
224,Encendida
225,Encendida
226,Encendida
227,Encendida
228,Encendida
229,Encendida
230,Encendida
231,Encendida
232,Encendida
233,Encendida
234,Desconocida
235,Desconocida
236,Desconocida
237,Desconocida
238,Encendida
239,Encendida
240,Encendida
241,Encendida
242,Encendida
243,Encendida
244,Encendida
245,Encendida
246,Encendida
247,Encendida
248,Desconocida
249,Desconocida
250,Desconocida
251,Desconocida
252,Desconocida
253,Desconocida
254,Desconocida
255,Desconocida
256,Desconocida
257,Desconocida
258,Desconocida
259,Desconocida
260,Desconocida
261,Desconocida
262,Desconocida
263,Encendida
264,Encendida
265,Encendida
266,Encendida
267,Encendida
268,Encendida
269,Encendida
270,Encendida
271,Encendida
272,Encendida
273,Encendida
274,Encendida
275,Encendida
276,Desconocida
277,Desconocida
278,Desconocida
279,Desconocida
280,Desconocida
281,Desconocida
282,Desconocida
283,Desconocida
284,Desconocida
285,Desconocida
286,Desconocida
287,Encendida
288,Encendida
289,Encendida
290,Encendida
291,Encendida
292,Encendida
293,Encendida
294,Encendida
295,Desconocida
296,Desconocida
297,Encendida
298,Encendida
299,Encendida
300,Encendida
301,Encendida
302,Encendida
303,Encendida
304,Encendida
305,Encendida
306,Encendida
307,Encendida
308,Encendida
309,Encendida
310,Encendida
311,Encendida
312,Encendida
313,Encendida
314,Encendida
315,Encendida
316,Desconocida
317,Desconocida
318,Desconocida
319,Desconocida
320,Desconocida
321,Desconocida
322,Desconocida
323,Desconocida
324,Desconocida
325,Desconocida
326,Desconocida
327,Desconocida
328,Desconocida
329,Desconocida
330,Desconocida
331,Desconocida
332,Desconocida
333,Desconocida
334,Desconocida
335,Encendida
336,Encendida
337,Encendida
338,Encendida
339,Encendida
340,Encendida
341,Encendida
342,Encendida
343,Encendida
344,Encendida
345,Encendida
346,Desconocida
347,Desconocida
348,Desconocida
349,Desconocida
350,Desconocida
351,Desconocida
352,Desconocida
353,Desconocida
354,Desconocida
355,Desconocida
356,Desconocida
357,Desconocida
358,Desconocida
359,Desconocida
360,Desconocida
361,Desconocida
362,Desconocida
363,Desconocida
364,Desconocida
365,Desconocida
366,Desconocida
367,Desconocida
368,Desconocida
369,Desconocida
370,Desconocida
371,Desconocida
372,Desconocida
373,Desconocida
374,Desconocida
375,Desconocida
376,Desconocida
377,Desconocida
378,Desconocida
379,Desconocida
380,Desconocida
381,Desconocida
382,Desconocida
383,Desconocida
384,Desconocida
385,Desconocida
386,Desconocida
387,Desconocida
388,Desconocida
389,Desconocida
390,Desconocida
391,Desconocida
392,Desconocida
393,Desconocida
394,Desconocida
395,Desconocida
396,Desconocida
397,Desconocida
398,Desconocida
399,Desconocida
400,Desconocida
401,Desconocida
402,Desconocida
403,Desconocida
404,Desconocida
405,Desconocida
406,Desconocida
407,Desconocida
408,Desconocida
409,Desconocida
410,Desconocida
411,Desconocida
412,Desconocida
413,Desconocida
414,Desconocida
415,Desconocida
416,Desconocida
417,Desconocida
418,Desconocida
419,Desconocida
420,Desconocida
421,Desconocida
422,Desconocida
423,Desconocida
424,Desconocida
425,Desconocida
426,Desconocida
427,Desconocida
428,Desconocida
429,Desconocida
430,Desconocida
431,Desconocida
432,Desconocida
433,Desconocida
434,Desconocida
435,Desconocida
436,Desconocida
437,Desconocida
438,Desconocida
439,Desconocida
440,Desconocida
441,Desconocida
442,Desconocida
443,Desconocida
444,Desconocida
445,Desconocida
446,Desconocida
447,Desconocida
448,Desconocida
449,Desconocida
450,Desconocida
451,Desconocida
452,Desconocida
453,Desconocida
454,Desconocida
455,Desconocida
456,Desconocida
457,Desconocida
458,Desconocida
459,Desconocida
460,Desconocida
461,Desconocida
462,Desconocida
463,Desconocida
464,Desconocida
465,Desconocida
466,Desconocida
467,Desconocida
468,Desconocida
469,Desconocida
470,Desconocida
471,Desconocida
472,Desconocida
473,Desconocida
474,Desconocida
475,Desconocida
476,Desconocida
477,Desconocida
478,Desconocida
479,Desconocida
480,Desconocida
481,Desconocida
482,Desconocida
483,Desconocida
484,Desconocida
485,Desconocida
486,Desconocida
487,Desconocida
488,Desconocida
489,Desconocida
490,Desconocida
491,Desconocida
492,Desconocida
493,Desconocida
494,Desconocida
495,Desconocida
496,Desconocida
497,Desconocida
498,Desconocida
499,Desconocida
500,Desconocida
501,Desconocida
502,Desconocida
503,Desconocida
504,Desconocida
505,Desconocida
506,Desconocida
507,Desconocida
508,Desconocida
509,Desconocida
510,Desconocida
511,Desconocida
512,Desconocida
513,Desconocida
514,Desconocida
515,Desconocida
516,Desconocida
517,Desconocida
518,Desconocida
519,Desconocida
520,Desconocida
521,Desconocida
522,Desconocida
523,Desconocida
524,Desconocida
525,Desconocida
526,Desconocida
527,Desconocida
528,Desconocida
529,Desconocida
530,Desconocida
531,Desconocida
532,Desconocida
533,Desconocida
534,Desconocida
535,Desconocida
536,Desconocida
537,Desconocida
538,Desconocida
